Genus	SubPathway	numKO
[Ruminococcus]	Citrate_cycle_TCA_cycle	7
Coprococcus	Citrate_cycle_TCA_cycle	7
Pseudomonas	Pentose_phosphate_pathway	22
Lactobacillus	Pentose_phosphate_pathway	11
5	Pentose_phosphate_pathway	15
6	Pentose_phosphate_pathway	16
Turicibacter	Pentose_phosphate_pathway	11
Bacteroides	Pentose_phosphate_pathway	13
7	Pentose_phosphate_pathway	13
Coprococcus	Butanoate_metabolism	9
Pseudomonas	Fructose_and_mannose_metabolism	14
4	None	319
5	None	693
Pseudomonas	None	964
6	None	661
Ruminococcus	None	458
7	None	718
3	None	316
Bacteroides	None	407
[Ruminococcus]	None	435
Coprococcus	None	532
4	C5-Branched_dibasic_acid_metabolism	4
7	C5-Branched_dibasic_acid_metabolism	3
5	C5-Branched_dibasic_acid_metabolism	3
Pseudomonas	C5-Branched_dibasic_acid_metabolism	3
6	C5-Branched_dibasic_acid_metabolism	3
Ruminococcus	C5-Branched_dibasic_acid_metabolism	3
Oscillospira	C5-Branched_dibasic_acid_metabolism	3
3	C5-Branched_dibasic_acid_metabolism	4
8	C5-Branched_dibasic_acid_metabolism	3
Bacteroides	C5-Branched_dibasic_acid_metabolism	4
rc4-4	C5-Branched_dibasic_acid_metabolism	3
[Ruminococcus]	C5-Branched_dibasic_acid_metabolism	3
Coprococcus	C5-Branched_dibasic_acid_metabolism	3
4	Valine_leucine_and_isoleucine_biosynthesis	2
5	Valine_leucine_and_isoleucine_biosynthesis	2
Pseudomonas	Valine_leucine_and_isoleucine_biosynthesis	2
6	Valine_leucine_and_isoleucine_biosynthesis	2
Ruminococcus	Valine_leucine_and_isoleucine_biosynthesis	2
Oscillospira	Valine_leucine_and_isoleucine_biosynthesis	2
7	Valine_leucine_and_isoleucine_biosynthesis	2
8	Valine_leucine_and_isoleucine_biosynthesis	3
Bacteroides	Valine_leucine_and_isoleucine_biosynthesis	2
rc4-4	Valine_leucine_and_isoleucine_biosynthesis	2
[Ruminococcus]	Valine_leucine_and_isoleucine_biosynthesis	2
Coprococcus	Valine_leucine_and_isoleucine_biosynthesis	2
Lactobacillus	Terpenoid_backbone_biosynthesis	10
4	Glycerophospholipid_metabolism	7
7	Glycerophospholipid_metabolism	11
Lactobacillus	Glycerophospholipid_metabolism	7
5	Glycerophospholipid_metabolism	10
Pseudomonas	Glycerophospholipid_metabolism	13
6	Glycerophospholipid_metabolism	11
Ruminococcus	Glycerophospholipid_metabolism	6
Oscillospira	Glycerophospholipid_metabolism	8
3	Glycerophospholipid_metabolism	8
Turicibacter	Glycerophospholipid_metabolism	9
8	Glycerophospholipid_metabolism	12
Bacteroides	Glycerophospholipid_metabolism	8
rc4-4	Glycerophospholipid_metabolism	7
[Ruminococcus]	Glycerophospholipid_metabolism	8
Coprococcus	Glycerophospholipid_metabolism	11
Anaeroplasma	Glycerophospholipid_metabolism	5
9	Glycerophospholipid_metabolism	5
4	Methane_metabolism	5
7	Methane_metabolism	6
Lactobacillus	Methane_metabolism	3
5	Methane_metabolism	4
Pseudomonas	Methane_metabolism	6
6	Methane_metabolism	4
Ruminococcus	Methane_metabolism	4
Oscillospira	Methane_metabolism	6
3	Methane_metabolism	6
