OTU_ID	Cef2dayrec21	Cef2dayrec22	Cef2dayrec23	Cef2dayrec25	Cef2dayrec26	Cef2dayrec28	Cef6wkrec13	Cef6wkrec14	Cef6wkrec15	Cef6wkrec16	Cef6wkrec17	Cef6wkrec18	Cef6wkrec19	Cef6wkrec20	NoAbx29	NoAbx31	NoAbx32	NoAbx33	NoAbx34	NoAbx35	NoAbx36	NoAbx6wkrec37	NoAbx6wkrec38	NoAbx6wkrec39	NoAbx6wkrec40	NoAbx6wkrec41	NoAbx6wkrec42	NoAbx6wkrec43	NoAbx6wkrec44
199307	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	1	4	1	2	2	1	0	5	2	3	2	0	1
260679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
4459184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	1
258747	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2
192283	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	3	5	2	1	2	2	3	2	1	3	1	3	2	3
190971	0	0	0	0	0	0	12	3	11	5	14	8	20	29	11	2	2	5	9	1	0	8	0	1	0	2	0	0	0
715102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1624030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
192557	0	0	0	0	0	0	5	0	0	0	1	1	0	0	3	3	2	7	1	3	0	0	0	2	1	1	2	0	3
185917	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	1	1
343420	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
339905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
586453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
110706	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320224	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0
193064	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	1	1	0	0	0	0	3	2	1	1	1	1	1	2
14035	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260410	0	0	0	0	0	0	7	0	0	0	0	0	0	0	18	20	18	13	4	24	24	28	23	16	26	24	31	12	12
276542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
261511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
