Gene	Category	SuperPathway	SubPathway
K20039	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K03186	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K00083	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K22395	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K03782	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K11188	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K00430	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K12356	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K13065	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K09754	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K18368	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K13066	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K00588	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K09755	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K13068	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K09756	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K09757	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K17054	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K17055	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K17056	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K17057	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K17058	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K17059	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K15506	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K13067	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K06892	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K13231	Metabolism	Biosynthesis of other secondary metabolites	Stilbenoid, diarylheptanoid and gingerol biosynthesis
K00487	Metabolism	Biosynthesis of other secondary metabolites	Stilbenoid, diarylheptanoid and gingerol biosynthesis
K13232	Metabolism	Biosynthesis of other secondary metabolites	Stilbenoid, diarylheptanoid and gingerol biosynthesis
K16040	Metabolism	Biosynthesis of other secondary metabolites	Stilbenoid, diarylheptanoid and gingerol biosynthesis
K13233	Metabolism	Biosynthesis of other secondary metabolites	Stilbenoid, diarylheptanoid and gingerol biosynthesis
K13234	Metabolism	Biosynthesis of other secondary metabolites	Stilbenoid, diarylheptanoid and gingerol biosynthesis
K17211	Metabolism	Biosynthesis of other secondary metabolites	Stilbenoid, diarylheptanoid and gingerol biosynthesis
K17212	Metabolism	Biosynthesis of other secondary metabolites	Stilbenoid, diarylheptanoid and gingerol biosynthesis
K13235	Metabolism	Biosynthesis of other secondary metabolites	Stilbenoid, diarylheptanoid and gingerol biosynthesis
K13065	Metabolism	Biosynthesis of other secondary metabolites	Stilbenoid, diarylheptanoid and gingerol biosynthesis
K09754	Metabolism	Biosynthesis of other secondary metabolites	Stilbenoid, diarylheptanoid and gingerol biosynthesis
K00588	Metabolism	Biosynthesis of other secondary metabolites	Stilbenoid, diarylheptanoid and gingerol biosynthesis
K00660	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K01859	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K00475	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K13077	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K05278	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K00487	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K08243	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K05280	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K05277	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K08695	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K13078	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K21581	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K21582	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K13079	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K13080	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K13081	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K13065	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K09754	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K13082	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K00588	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K13083	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
K13264	Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis
K13080	Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis
K01195	Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis
K10757	Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis
K13269	Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis
K15787	Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis
K05280	Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis
K05279	Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis
K13270	Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis
K13271	Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis
K13083	Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis
K13272	Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis
K12930	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
K12931	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
K12932	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
K12933	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
K17192	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
K17193	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
K21383	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
K12934	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
K12935	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
K12338	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
K17194	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
K12936	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
K12937	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
K12938	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
K12939	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
K13257	Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
K13258	Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
K13259	Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
K13260	Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
K13261	Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
K13262	Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
K13263	Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
K13264	Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
K05281	Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
K13265	Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
K13266	Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
K21513	Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
K13267	Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
K13077	Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
K01593	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K01757	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K12693	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K08233	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K12694	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K22326	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K12695	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K21026	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K12696	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K21895	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K21896	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K12697	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K12698	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K12699	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K22433	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K22434	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K22435	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K22436	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
K18385	Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis
K18386	Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis
K18387	Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis
K18388	Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis
K18389	Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis
K18390	Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis
K18391	Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis
K18392	Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis
K18393	Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis
K18394	Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis
K18395	Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis
K18396	Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis
K18397	Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis
K03334	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K14454	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K14455	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K00811	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K00812	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K00813	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K11358	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K15849	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K00815	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K00832	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K00838	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K22327	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13382	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13383	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13384	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13385	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13386	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K22088	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K22089	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13387	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K00422	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K00501	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K00505	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K01592	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K01593	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K22090	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K21311	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K21208	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K00274	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K00276	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13371	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13372	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K22091	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K22092	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13389	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K21580	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13390	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K22093	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13391	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13392	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13393	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K14975	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K14976	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K03378	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13394	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K00307	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K21070	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13395	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13396	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K20621	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K22094	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K22095	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K22096	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K22097	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K22098	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K21692	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K21693	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13397	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K13398	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
K05353	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K00276	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K05354	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K08081	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K14454	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K14455	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K00811	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K00812	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K00813	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K11358	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K15849	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K00815	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K00817	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K00832	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K00838	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K05821	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K18606	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K13607	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K12692	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K00808	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K13608	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K13609	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K19743	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K19064	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K01582	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K13610	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
K12643	Metabolism	Biosynthesis of other secondary metabolites	Acridone alkaloid biosynthesis
K12644	Metabolism	Biosynthesis of other secondary metabolites	Acridone alkaloid biosynthesis
K12729	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
K12730	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
K12731	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
K21722	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
K21723	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
K21724	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
K07409	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
K00622	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
K17683	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
K00106	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
K21673	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
K21674	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
K21675	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
K00365	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
K16838	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
K00505	Metabolism	Biosynthesis of other secondary metabolites	Betalain biosynthesis
K01593	Metabolism	Biosynthesis of other secondary metabolites	Betalain biosynthesis
K00545	Metabolism	Biosynthesis of other secondary metabolites	Betalain biosynthesis
K15774	Metabolism	Biosynthesis of other secondary metabolites	Betalain biosynthesis
K15775	Metabolism	Biosynthesis of other secondary metabolites	Betalain biosynthesis
K15776	Metabolism	Biosynthesis of other secondary metabolites	Betalain biosynthesis
K15777	Metabolism	Biosynthesis of other secondary metabolites	Betalain biosynthesis
K21346	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K15741	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K15742	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K01703	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K21359	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K21360	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K12154	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K12156	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K11819	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K11820	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K11821	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K22321	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K12155	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K13401	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K14984	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K12153	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K11818	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K11812	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K11813	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K13027	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
K13222	Metabolism	Biosynthesis of other secondary metabolites	Benzoxazinoid biosynthesis
K13223	Metabolism	Biosynthesis of other secondary metabolites	Benzoxazinoid biosynthesis
K13224	Metabolism	Biosynthesis of other secondary metabolites	Benzoxazinoid biosynthesis
K13225	Metabolism	Biosynthesis of other secondary metabolites	Benzoxazinoid biosynthesis
K13226	Metabolism	Biosynthesis of other secondary metabolites	Benzoxazinoid biosynthesis
K13227	Metabolism	Biosynthesis of other secondary metabolites	Benzoxazinoid biosynthesis
K13229	Metabolism	Biosynthesis of other secondary metabolites	Benzoxazinoid biosynthesis
K13230	Metabolism	Biosynthesis of other secondary metabolites	Benzoxazinoid biosynthesis
K12743	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
K04126	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
K04127	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
K12744	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
K12745	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
K12747	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
K01060	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
K00273	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
K12748	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
K04128	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
K18062	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
K10852	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
K19200	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
K01434	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
K17836	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
K00931	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K00147	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18318	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18319	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18317	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18583	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18316	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18582	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18315	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18562	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18563	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18564	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18565	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18566	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18568	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18569	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18570	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18571	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K18572	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
K16421	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
K16422	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
K16423	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
K19102	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
K19103	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
K05375	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
K19104	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
K19105	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
K19106	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
K13811	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
K00955	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
K00956	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
K00957	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
K00958	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
K00928	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
K12524	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
K12525	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
