Gene	Category	SuperPathway	SubPathway
K01792	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K01837	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K03103	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K11389	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K00131	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K18978	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K01596	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K01610	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K01222	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K01223	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K02777	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K02778	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K02779	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K02790	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K02791	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K20116	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K20117	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K20118	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K02752	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K02753	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K01647	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01648	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K15230	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K15231	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01681	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01682	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00031	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00030	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K17753	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00164	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00658	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00382	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00174	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00175	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00177	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00176	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01902	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01903	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01899	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01900	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K18118	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00234	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00235	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00236	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00237	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00239	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00240	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
